# Age (Gyr), MW Stellar Mass, LMC Stellar Mass, MW col (Bruzal), LMC col (Bruzal)
2.600000000000000089e+00,1.016973995542119026e+10,6.745252639714863300e+08,-1.618544891471405678e-01,1.684461514254360637e-01
2.700000000000000178e+00,1.156144630541762733e+10,6.944091714415726662e+08,-1.358916957860687169e-01,1.782962397403153321e-01
2.800000000000000266e+00,1.292290759482642937e+10,7.138535904006545544e+08,-1.046887114990988077e-01,1.880765457108238559e-01
2.900000000000000355e+00,1.424006125064523506e+10,7.328897023593162298e+08,-7.393602186463624215e-02,1.978756587826383251e-01
3.000000000000000444e+00,1.548487436749336243e+10,7.514755699889166355e+08,-3.953069529359960754e-02,2.076948362199934617e-01
3.100000000000000089e+00,1.663886391849570084e+10,7.696028194288259745e+08,-3.261908302879752090e-03,2.174723414002251998e-01
3.200000000000000178e+00,1.770958764677434158e+10,7.873593688779243231e+08,2.994384900694535903e-02,2.270798088572540396e-01
3.300000000000000266e+00,1.870858667841280365e+10,8.046970522133067846e+08,6.214957898237220835e-02,2.366560068859377697e-01
3.400000000000000355e+00,1.961441175618060684e+10,8.216260822812414169e+08,9.858025632183553544e-02,2.461809074926157859e-01
3.500000000000000444e+00,2.043911092507687378e+10,8.381464590817342997e+08,1.299298552286193842e-01,2.556404477310602608e-01
3.600000000000000089e+00,2.119978884626266861e+10,8.542512986166082621e+08,1.597831576138803167e-01,2.649102635387049487e-01
3.700000000000000178e+00,2.189895163237125015e+10,8.699905712293233871e+08,1.875871342179053214e-01,2.738392011992586417e-01
3.800000000000000266e+00,2.255208396863667679e+10,8.853367557858284712e+08,2.105980668995714733e-01,2.826603080426655090e-01
3.900000000000000355e+00,2.316624542595746994e+10,9.003000651323978901e+08,2.305296819311767054e-01,2.915247432500608360e-01
4.000000000000000000e+00,2.375069015195744324e+10,9.148799571208572388e+08,2.464599716223362103e-01,3.004792499320551591e-01
4.099999999999999645e+00,2.431172466252129745e+10,9.290421575515723228e+08,2.597756660135314699e-01,3.103527013922635081e-01
4.200000000000000178e+00,2.484980392869004822e+10,9.427662441241003275e+08,2.725108927696500150e-01,3.206528612893517760e-01
4.299999999999999822e+00,2.536965926490862274e+10,9.560522168384094238e+08,2.820008804752408005e-01,3.312191279585142145e-01
4.399999999999999467e+00,2.587573295427515411e+10,9.688853935627683401e+08,2.900515889410691384e-01,3.422911327518904367e-01
4.500000000000000000e+00,2.637158497969607925e+10,9.812330533576968908e+08,2.953707870008719372e-01,3.550632627189560520e-01
4.599999999999999645e+00,2.685942343856613922e+10,9.930440045134686232e+08,2.999041143444437507e-01,3.685663280139542253e-01
